newId,SP,Region,RCRegion,Province,Residence,Gender,Dis,District,VillageNeighborhood,Lon,Lat,wave,Urbanity,Village,UrbanRuralStatus,UrbanRuralStatus14,DariVillage,Kishstartnumber,Urban,Metro,district_TAF_2015,Name,client
1181582,1582,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,BARWAN,64.72492,31.90192,18,,,,,,,,,,,ANQAR
1181583,1583,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,HAJI ABDUL RAHIM KALAY,64.75318,31.89339,18,,,,,,,,,,,ANQAR
1181584,1584,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,NAZERAN KALAY,,,18,,,,,,,,,,,ANQAR
1181585,1585,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,SARDAR,64.60457,31.82605,18,,,,,,,,,,,ANQAR
1181586,1586,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,KHAK BADAN,64.58687999999999,31.81001,18,,,,,,,,,,,ANQAR
1181587,1587,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,MOHAMMAD ZAI,64.72239,31.87908,18,,,,,,,,,,,ANQAR
1181588,1588,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,DIHMAZAG SHARQI,64.55604,31.81024,18,,,,,,,,,,,ANQAR
1181589,1589,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Nawah-ye-Barakzai,DAWUD SHAH KHAIL,64.32062000000001,31.37788,18,,,,,,,,,,,ANQAR
1181590,1590,4. South Western,6. RC S. West,27. Helmand,1. Village,M,341,Nawah-ye-Barakzai,KHALICH MALIM QASIM KHAN SAYYID NOOR KHAN WA ABDUL RASHID KHAN,64.28809,31.38238,18,,,,,,,,,,,ANQAR
1181591,1591,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Nawah-ye-Barakzai,SAYYIDAN,64.31408,31.5049,18,,,,,,,,,,,ANQAR
1181592,1592,4. South Western,6. RC S. West,27. Helmand,1. Village,M,341,Nawah-ye-Barakzai,GUL AGA FAQIRAN,64.23253,31.38395,18,,,,,,,,,,,ANQAR
1181593,1593,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Nawah-ye-Barakzai,SHAR SHARAK ALLAH DAD WA NOOR MOHAMMAD,64.14049,31.26722,18,,,,,,,,,,,ANQAR
1181594,1594,4. South Western,6. RC S. West,27. Helmand,1. Village,M,341,Nawah-ye-Barakzai,FAYZ JAN WA KHUDAY RAHM,64.2293,31.32276,18,,,,,,,,,,,ANQAR
1181595,1595,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Nawah-ye-Barakzai,SHAR SHARAK MULLA SHARANG,64.20202999999999,31.27792,18,,,,,,,,,,,ANQAR
1181596,1596,4. South Western,6. RC S. West,27. Helmand,1. Village,M,341,Nawah-ye-Barakzai,HAJI FIYROZ SHAH,64.27452,31.29728,18,,,,,,,,,,,ANQAR
1181597,1597,4. South Western,6. RC S. West,27. Helmand,1. Village,F,342,Garm Ser,MULLAH FAKHRULDIN,64.11351999999999,30.94982,18,,,,,,,,,,,ANQAR
1181598,1598,4. South Western,6. RC S. West,27. Helmand,1. Village,M,342,Garm Ser,NAQELEN KUSHTI HAJI ABDULLAH JAN,64.14875000000001,30.93533,18,,,,,,,,,,,ANQAR
1181599,1599,4. South Western,6. RC S. West,27. Helmand,1. Village,F,342,Garm Ser,HAJI ROKHAN WA NAJEEBULLAH,64.17565000000001,30.98454,18,,,,,,,,,,,ANQAR
1181600,1600,4. South Western,6. RC S. West,27. Helmand,1. Village,M,342,Garm Ser,SHAD MIR,64.14592,30.88909,18,,,,,,,,,,,ANQAR
1181629,1629,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KOTE SUFLA,65.06133,32.38346,18,,,,,,,,,,,ANQAR
1181630,1630,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KARAIZ DAI,65.07113,32.37302,18,,,,,,,,,,,ANQAR
1181631,1631,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,RAISACHI,65.09506,32.36132,18,,,,,,,,,,,ANQAR
1181632,1632,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KARAIZ NAW GHARBI,65.11341,32.41066,18,,,,,,,,,,,ANQAR
1181633,1633,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,SAPAIDA,65.11758,32.3924,18,,,,,,,,,,,ANQAR
1181634,1634,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KALIZE YA JALAL ABAD,65.10755,32.36213,18,,,,,,,,,,,ANQAR
1181635,1635,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,ZAIR KHAK,65.20011,32.39623,18,,,,,,,,,,,ANQAR
1191511,1511,4. South Western,6. RC S. West,27. Helmand,2. Town,M,,Lashkar Gah town, See Two C-2,,,19,,,,,,,,,,,ANQAR
1191512,1512,4. South Western,6. RC S. West,27. Helmand,2. Town,F,,Lashkar Gah town,Safyan,,,19,,,,,,,,,,,ANQAR
1191513,1513,4. South Western,6. RC S. West,27. Helmand,2. Town,M,,Lashkar Gah town,Kasaba De Haqani,,31.6023,19,,,,,,,,,,,ANQAR
1191514,1514,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nad 'Ali,WAKIL ABDUL HIMAD KALAY,,31.73537,19,,,,,,,,,,,ANQAR
1191515,1515,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nad 'Ali,TAKHTAN,,31.70951,19,,,,,,,,,,,ANQAR
1191516,1516,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nad 'Ali,DO BANDI KALAY,,31.72374,19,,,,,,,,,,,ANQAR
1191517,1517,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nad 'Ali,CHAH ANJIR SHAMAI,,31.68006,19,,,,,,,,,,,ANQAR
1191518,1518,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,WAZHDAN,,32.86288,19,,,,,,,,,,,ANQAR
1191519,1519,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,LEJAK,,32.82973,19,,,,,,,,,,,ANQAR
1191520,1520,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,GHOL MEASH,,32.61561,19,,,,,,,,,,,ANQAR
1191521,1521,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,SULTAN RABAT,,32.44088,19,,,,,,,,,,,ANQAR
1191522,1522,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Lashkar Gah rural,ABDUL ZAHIR WA KHAN M.KALAY,,31.71379,19,,,,,,,,,,,ANQAR
1191523,1523,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Lashkar Gah rural,JAMAL KALAY HAJI WALI JAN,,31.72185,19,,,,,,,,,,,ANQAR
1191524,1524,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Lashkar Gah rural,HAJI GULAB-NOOR M.YAR MOHAMMAD,,31.6986,19,,,,,,,,,,,ANQAR
1191525,1525,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Lashkar Gah rural,SAFID MALOK,,31.68917,19,,,,,,,,,,,ANQAR
1191526,1526,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Sangin,SHAIKH MOHAMMADI,,32.1876,19,,,,,,,,,,,ANQAR
1191527,1527,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Sangin,NAKOR ZAI,,32.1262,19,,,,,,,,,,,ANQAR
1191528,1528,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Sangin,TOORA OBA KALAY,,32.11008,19,,,,,,,,,,,ANQAR
1191529,1529,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Sangin,ZAHFARAN,,32.0659,19,,,,,,,,,,,ANQAR
1191530,1530,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Musa Qal'ah,SHAHIDAN,,32.56468,19,,,,,,,,,,,ANQAR
1191531,1531,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Musa Qal'ah,KAS SHARBAT,,32.46491,19,,,,,,,,,,,ANQAR
1191532,1532,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Musa Qal'ah,KHOWJA LAHL,,32.42684,19,,,,,,,,,,,ANQAR
1191533,1533,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Musa Qal'ah,HAZAR MESHI,,32.3571,19,,,,,,,,,,,ANQAR
1191534,1534,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Now Zad,AMROT,,32.85552,19,,,,,,,,,,,ANQAR
1191535,1535,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Now Zad,PAY AKHTAK,,32.90217,19,,,,,,,,,,,ANQAR
1191536,1536,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Marjah,ABDUL MANAF KALAY,,31.42684,19,,,,,,,,,,,ANQAR
1191537,1537,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Marjah,MARJA BLOCK 3-B,,31.43124,19,,,,,,,,,,,ANQAR
1191538,1538,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Reg-e Khan Neshin,KALO KALAY,,30.54106,19,,,,,,,,,,,ANQAR
1191539,1539,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Reg-e Khan Neshin,HALIM KHAN KALAY,,,19,,,,,,,,,,,ANQAR
1191540,1540,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Dishu,BANGAL,,30.45216,19,,,,,,,,,,,ANQAR
1191541,1541,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Dishu,AGHA GUL,,32.66942,19,,,,,,,,,,,ANQAR
1191542,1542,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nahr-e Saraj,KARAIZ KOKA,,32.04,19,,,,,,,,,,,ANQAR
1191543,1543,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nahr-e Saraj,QALA GAZ,,32.00421,19,,,,,,,,,,,ANQAR
1191544,1544,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nahr-e Saraj,KHUMARI,,31.99411,19,,,,,,,,,,,ANQAR
1191545,1545,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nahr-e Saraj,SALLIH KHAIL,,31.96086,19,,,,,,,,,,,ANQAR
1191546,1546,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nahr-e Saraj,PAYEN GAW,,31.94736,19,,,,,,,,,,,ANQAR
1191547,1547,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nahr-e Saraj,SHELA GIRISHK,,31.83586,19,,,,,,,,,,,ANQAR
1191548,1548,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nahr-e Saraj,NOW ABAD HJIYAN,,31.85635,19,,,,,,,,,,,ANQAR
1191549,1549,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nahr-e Saraj,HABIBULLAH KALAY,,31.85536,19,,,,,,,,,,,ANQAR
1191550,1550,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nawah-ye-Barakzai,KAKARAN WAKIL RAZ MOHAMMAD,,31.44899,19,,,,,,,,,,,ANQAR
1191551,1551,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nawah-ye-Barakzai,SHAHNAWAZ KHAN,,31.47287,19,,,,,,,,,,,ANQAR
1191552,1552,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nawah-ye-Barakzai,NIGARIN,,31.4336,19,,,,,,,,,,,ANQAR
1191553,1553,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nawah-ye-Barakzai,ABDUL HAKIM WA FAYZULLAH,,31.42832,19,,,,,,,,,,,ANQAR
1191554,1554,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Nawah-ye-Barakzai,NAQELINI BILAK AWAL,,31.39909,19,,,,,,,,,,,ANQAR
1191555,1555,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Nawah-ye-Barakzai,GUL AQA LAL M.WA MUSSA KALAY,,31.40044,19,,,,,,,,,,,ANQAR
1191556,1556,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Garm Ser,KHAIR MOHAMMAD KHAN,,31.13453,19,,,,,,,,,,,ANQAR
1191557,1557,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Garm Ser,NAQELEN MOHAMMAD AUOUB KHAN,,31.11889,19,,,,,,,,,,,ANQAR
1191558,1558,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Garm Ser,NAQELEN WAKIL MASOOM MASJEDAK,,31.11475,19,,,,,,,,,,,ANQAR
1191559,1559,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Garm Ser,HAJI ALI SHAH KHAN,,31.08649,19,,,,,,,,,,,ANQAR
1191560,1560,4. South Western,6. RC S. West,27. Helmand,1. Village,F,,Garm Ser,HAJI WAZER,,31.07662,19,,,,,,,,,,,ANQAR
1191561,1561,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Baghran,Intercept interviews,,,19,,,,,,,,,,,ANQAR
1191562,1562,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Baghran,Intercept interviews,,,19,,,,,,,,,,,ANQAR
1191563,1563,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Baghran,Intercept interviews,,,19,,,,,,,,,,,ANQAR
1191564,1564,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Baghran,Intercept interviews,,,19,,,,,,,,,,,ANQAR
1191629,1629,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,NAICHA,,32.42468,19,,,,,,,,,,,ANQAR
1191630,1630,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,GHULAM HUSSAIN YA NASWARYAN,,32.37823,19,,,,,,,,,,,ANQAR
1191631,1631,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,TAJOWI,,32.33987,19,,,,,,,,,,,ANQAR
1191632,1632,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,KARAIZ QAMBAIYAN,,32.35954,19,,,,,,,,,,,ANQAR
1191633,1633,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,KOCENAI AW LOW TOORGHI,,32.39853,19,,,,,,,,,,,ANQAR
1191634,1634,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,HAJI KHAIL,,32.35501,19,,,,,,,,,,,ANQAR
1191635,1635,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,NAWI KARAIZ,,32.35629,19,,,,,,,,,,,ANQAR
1191636,1636,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,CHALTAN,,32.40498,19,,,,,,,,,,,ANQAR
1191637,1637,4. South Western,6. RC S. West,27. Helmand,1. Village,M,,Kajaki,CHENA,,32.33573,19,,,,,,,,,,,ANQAR
1201511,1511,4. South Western,6. RC S. West,27. Helmand,2. Town,M,345,Lashkar Gah town, See Two C-2,,,20,,,,,,,,,,,ANQAR
1201512,1512,4. South Western,6. RC S. West,27. Helmand,2. Town,F,345,Lashkar Gah town,Safyan,,,20,,,,,,,,,,,ANQAR
1201513,1513,4. South Western,6. RC S. West,27. Helmand,2. Town,M,345,Lashkar Gah town,Nawi Safyan,,,20,,,,,,,,,,,ANQAR
1201514,1514,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,BAIDAK KALAN,64.87049,32.8146,20,,,,,,,,,,,ANQAR
1201515,1515,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KHUM BALAGH YA BARIKAW,65.09513,32.58354,20,,,,,,,,,,,ANQAR
1201516,1516,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KARAIZ NOW,65.04935,32.42032,20,,,,,,,,,,,ANQAR
1201517,1517,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KANDAGHA,64.93659,32.36781,20,,,,,,,,,,,ANQAR
1201518,1518,4. South Western,6. RC S. West,27. Helmand,1. Village,F,345,Lashkar Gah rural,HAJI ABDUL HAMID,64.36544000000001,31.72561,20,,,,,,,,,,,ANQAR
1201519,1519,4. South Western,6. RC S. West,27. Helmand,1. Village,M,345,Lashkar Gah rural,HAJI FAIZULLAH MOHAMMAD KHAN,64.44535999999999,31.7199,20,,,,,,,,,,,ANQAR
1201520,1520,4. South Western,6. RC S. West,27. Helmand,1. Village,F,345,Lashkar Gah rural,ALI SHER,64.38906,31.69588,20,,,,,,,,,,,ANQAR
1201521,1521,4. South Western,6. RC S. West,27. Helmand,1. Village,M,345,Lashkar Gah rural,DOST MOHAMMAD KHAN,64.35812,31.67798,20,,,,,,,,,,,ANQAR
1201522,1522,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Sangin,BARUKZAI,64.97126,32.19453,20,,,,,,,,,,,ANQAR
1201523,1523,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Sangin,FAIROZI replaced with De Sangin Lora,64.9185,32.13483,20,,,,,,,,,,,ANQAR
1201524,1524,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,SOKHTA,64.76723,32.58702,20,,,,,,,,,,,ANQAR
1201525,1525,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,CHOGHARGH,64.731,32.46241,20,,,,,,,,,,,ANQAR
1201526,1526,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,WASAK,64.75732000000001,32.36288,20,,,,,,,,,,,ANQAR
1201527,1527,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,CHENA SUFLA,64.76645000000001,32.34218,20,,,,,,,,,,,ANQAR
1201528,1528,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,POZA,64.56041000000001,32.85566,20,,,,,,,,,,,ANQAR
1201529,1529,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,MEYAN AKHTAK,64.73423,32.91388,20,,,,,,,,,,,ANQAR
1201530,1530,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,DORDI,64.54989999999999,32.80151,20,,,,,,,,,,,ANQAR
1201531,1531,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,GADAYE ZAY,64.64218,32.72955,20,,,,,,,,,,,ANQAR
1201532,1532,4. South Western,6. RC S. West,27. Helmand,1. Village,F,417,Marjah,MARJA BLOCK A-7,64.04559999999999,31.44294,20,,,,,,,,,,,ANQAR
1201533,1533,4. South Western,6. RC S. West,27. Helmand,1. Village,M,417,Marjah,MARJA BLOCK 3-C,64.1296,31.4299,20,,,,,,,,,,,ANQAR
1201534,1534,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Reg-e Khan Neshin replaced with Nawah-ye-Barakzai,MAHAJIR ABAD,64.30081,31.5074,20,,,,,,,,,,,ANQAR
1201535,1535,4. South Western,6. RC S. West,27. Helmand,1. Village,M,339,Reg-e Khan Neshin replaced with Nad 'Ali,WAKIL ABDUL QAYOUM,64.40654000000001,31.75307,20,,,,,,,,,,,ANQAR
1201536,1536,4. South Western,6. RC S. West,27. Helmand,1. Village,F,417,Washer replaced with Marjah,MARJA BLOCK 5-E,64.08588,31.491,20,,,,,,,,,,,ANQAR
1201537,1537,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Washer replaced with Sangin,SAR GHAR GAY,64.87332000000001,32.08863,20,,,,,,,,,,,ANQAR
1201538,1538,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,KARAIZ LOWAR AMIR,64.48556000000001,32.07269,20,,,,,,,,,,,ANQAR
1201539,1539,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,KAKA KHAIL,64.78825999999999,32.00132,20,,,,,,,,,,,ANQAR
1201540,1540,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,CHASHMA,64.80119000000001,31.96489,20,,,,,,,,,,,ANQAR
1201541,1541,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,MEYAN DIH,64.76074,31.95141,20,,,,,,,,,,,ANQAR
1201542,1542,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,BAYAN ZAI,64.7628,31.92347,20,,,,,,,,,,,ANQAR
1201543,1543,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,NOW ABAD DASHT TAJIKAN,64.56386999999999,31.85169,20,,,,,,,,,,,ANQAR
1201544,1544,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,BARUKZAI,64.64071,31.85341,20,,,,,,,,,,,ANQAR
1201545,1545,4. South Western,6. RC S. West,27. Helmand,1. Village,M,340,Nahr-e Saraj,PAYEN QALA,64.67097,31.84594,20,,,,,,,,,,,ANQAR
1201546,1546,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Nawah-ye-Barakzai,WAZER KALAY,64.32733,31.46847,20,,,,,,,,,,,ANQAR
1201547,1547,4. South Western,6. RC S. West,27. Helmand,1. Village,M,341,Nawah-ye-Barakzai,NAQELIN KHUDI RAHM,64.33797,31.40983,20,,,,,,,,,,,ANQAR
1201548,1548,4. South Western,6. RC S. West,27. Helmand,1. Village,F,341,Nawah-ye-Barakzai,HAJI  RUSTAM,64.34365,31.41726,20,,,,,,,,,,,ANQAR
